SAMD00000649	Shigella	dysenteriae	unknown	626	4221027	0.507858632508155	0.0	17480	0.8500298624007854	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	252	99.98	0.51	SAMD00000649								Illumina HiSeq 2500	ILLUMINA					SAMD00000649	DRS014101	DRP001667				PRJDB1782	DRA001595
SAMD00000699	Escherichia	coli	unknown	379	5024028	0.5060389790821229	0.0	44485	0.8706519947739145	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	281	100.0	0.18	SAMD00000699								Illumina HiSeq 2000	ILLUMINA					SAMD00000699	DRS013911	DRP001477				PRJDB1793	DRA001405
SAMD00000724	Escherichia	coli	unknown	202	4932412	0.5065773094380599	0.0	94105	0.881524292780084	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	56	100.0	0.12	SAMD00000724								Illumina HiSeq 2500	ILLUMINA					SAMD00000724	DRS014121	DRP001687				PRJDB1796	DRA001615
SAMD00000754	Escherichia	coli	unknown	288	4937334	0.5057162428144419	0.0	74048	0.8727910649755516	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	5655	100.0	0.12	SAMD00000754								Illumina HiSeq 2500	ILLUMINA					SAMD00000754	DRS014019	DRP001585				PRJDB1802	DRA001513
SAMD00000812	Shigella	dysenteriae	unknown	456	4571368	0.506227457513812	0.0	25827	0.863702069052415	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	273	100.0	0.02	SAMD00000812								Illumina HiSeq 2500	ILLUMINA					SAMD00000812	DRS014039	DRP001605				PRJDB1812	DRA001533
SAMD00002681	Shigella	flexneri	unknown	346	4466069	0.5080255141602156	0.0	32687	0.8734307508459901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	628	100.0	0.7	SAMD00002681								Illumina HiSeq 2500	ILLUMINA					SAMD00002681	DRS014110	DRP001676				PRJDB1828	DRA001604
SAMD00002695	Escherichia	coli	unknown	92	4791093	0.5068569948443915	0.0	203893	0.8895383579488021	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	95	100.0	0.83	SAMD00002695								Illumina HiSeq 2000	ILLUMINA					SAMD00002695	DRS013917	DRP001483				PRJDB1837	DRA001411
SAMD00002789	Escherichia	coli	unknown	551	5198742	0.5047255663004627	0.0	38951	0.8650727425981132	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	-	100.0	0.17	SAMD00002789								Illumina HiSeq 2000	ILLUMINA					SAMD00002789	DRS013909	DRP001475				PRJDB1842	DRA001403
SAMD00003131	Shigella	boydii	unknown	546	4127909	0.5084581564176923	0.0	16818	0.8550459809070403	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	243	100.0	0.25	SAMD00003131								Illumina HiSeq 2500	ILLUMINA					SAMD00003131	DRS014025	DRP001591				PRJDB1868	DRA001519
SAMD00003155	Shigella	sonnei	unknown	512	4407979	0.5069434314455672	0.0	25242	0.8584684727400017	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	152	100.0	0.0	SAMD00003155								Illumina HiSeq 2500	ILLUMINA					SAMD00003155	DRS014119	DRP001685				PRJDB1877	DRA001613
SAMD00003398	Escherichia	coli	unknown	561	5396831	0.5027681985965468	0.0	51934	0.8593780312928087	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	3	100.0	0.43	SAMD00003398								Illumina HiSeq 2000	ILLUMINA					SAMD00003398	DRS013915	DRP001481				PRJDB1898	DRA001409
SAMD00003399	Shigella	boydii	unknown	501	4786957	0.5051094045758088	0.0	28299	0.8621435287595022	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	1749	100.0	0.33	SAMD00003399								Illumina HiSeq 2500	ILLUMINA					SAMD00003399	DRS014029	DRP001595				PRJDB1899	DRA001523
