SAMD00032020	Streptococcus	pneumoniae	SP1540	54	2188641	0.3955452513798005	4.5690453573701674E-5	106433	0.8670036339278085	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	4250	100.0	0.11	SAMD00032020		2011-12-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Capsule switching and antimicrobial resistance acquired during a repeated Streptococcus pneumoniae pneumonia episodes	DRS020514	DRS020514	DRP002713			SP1540	PRJDB3993	DRA003687
SAMD00032021	Streptococcus	pneumoniae	SP1841	58	2187891	0.3954833894096831	4.570611607251001E-5	96306	0.8665919185150684	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	4250	100.0	0.1	SAMD00032021		2012-06-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Capsule switching and antimicrobial resistance acquired during a repeated Streptococcus pneumoniae pneumonia episodes	DRS020515	DRS020515	DRP002713			SP1841	PRJDB3993	DRA003687
SAMD00032022	Streptococcus	pneumoniae	SP2071	54	2188277	0.395476234326565	4.5698053765588175E-5	106433	0.8666689212070139	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	4250	100.0	0.11	SAMD00032022		2012-08-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Capsule switching and antimicrobial resistance acquired during a repeated Streptococcus pneumoniae pneumonia episodes	DRS020516	DRS020516	DRP002713			SP2071	PRJDB3993	DRA003687
SAMD00032023	Streptococcus	pneumoniae	SP2079	57	2187881	0.3954872762527992	9.141264995673897E-5	96306	0.8662652370249593	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	4250	100.0	0.11	SAMD00032023		2012-09-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Capsule switching and antimicrobial resistance acquired during a repeated Streptococcus pneumoniae pneumonia episodes	DRS020517	DRS020517	DRP002713			SP2079	PRJDB3993	DRA003687
SAMD00032024	Streptococcus	pneumoniae	SP2247	54	2187056	0.3955481706915598	0.0	106431	0.8659485628168643	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	4250	100.0	0.11	SAMD00032024		2012-11-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Capsule switching and antimicrobial resistance acquired during a repeated Streptococcus pneumoniae pneumonia episodes	DRS020518	DRS020518	DRP002713			SP2247	PRJDB3993	DRA003687
SAMD00032025	Streptococcus	pneumoniae	SP2251	56	2187837	0.3955068639420552	4.5707244186838414E-5	106433	0.8674959558667243	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	4250	100.0	0.11	SAMD00032025		2012-11-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Capsule switching and antimicrobial resistance acquired during a repeated Streptococcus pneumoniae pneumonia episodes	DRS020519	DRS020519	DRP002713			SP2251	PRJDB3993	DRA003687
SAMD00032026	Streptococcus	pneumoniae	SP2258	58	2189840	0.39549900901476887	4.566543674423702E-5	102020	0.8669093134344716	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	4250	100.0	0.11	SAMD00032026		2012-12-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Capsule switching and antimicrobial resistance acquired during a repeated Streptococcus pneumoniae pneumonia episodes	DRS020520	DRS020520	DRP002713			SP2258	PRJDB3993	DRA003687
SAMD00032027	Streptococcus	pneumoniae	SP2261	54	2188348	0.3954862520153109	4.569657111209003E-5	106433	0.8671699917011234	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	4250	100.0	0.11	SAMD00032027		2012-12-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Capsule switching and antimicrobial resistance acquired during a repeated Streptococcus pneumoniae pneumonia episodes	DRS020521	DRS020521	DRP002713			SP2261	PRJDB3993	DRA003687
SAMD00032028	Streptococcus	pneumoniae	SP2346	49	2189278	0.3954591422377606	0.0	106433	0.8684881499745578	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	4250	100.0	0.11	SAMD00032028		2013-04-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Capsule switching and antimicrobial resistance acquired during a repeated Streptococcus pneumoniae pneumonia episodes	DRS020522	DRS020522	DRP002713			SP2346	PRJDB3993	DRA003687
SAMD00110675	Streptococcus	pneumoniae	unknown	113	2132832	0.39633279440616104	9.377203642856071E-5	70076	0.8593981521425168	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	9999	100.0	0.14	SAMD00110675								Illumina MiSeq	ILLUMINA					SAMD00110675	DRS059796	DRP004093				PRJDB6659	DRA006467
